a(b	a\(b	a\(b	a[(]b	a[(]b	a(b	a(b	a(b	a(b	a(b
a?b	a\?b	a\?b	a[?]b	a[?]b	a?b	a?b	a?b	a?b	a?b
*	\*	\*	[*]	[*]	*	*	*	*	*
[	\[	\[	[[]	[[]	[	[	[	[	[
}	}	\}	}	[}]	}	}	}	}	}
#	#	#	#	#	#	#	#	#	#
a/b	a/b	a/b	a/b	a/b	a/b	a/b	a/b	a/b	a/b
a\{b\}	a\\{b\\}	a\\\{b\\\}	a\{b\}	a\[{]b\[}]	a{b}	a\{b\}	a\{b\}	a\{b\}	a\{b\}
[a,b]	\[a,b\]	\[a,b\]	[[]a,b[]]	[[]a,b[]]	[a,b]	[a,b]	[a,b]	[a,b]	[a,b]
[\]	\[\\\]	\[\\\]	[[]\[]]	[[]\[]]	[]	[]	[\]	[\]	[\]
[\}	\[\\}	\[\\\}	[[]\}	[[]\[}]	[}	[\}	[\}	[\}	[\}
[{}]	\[{}\]	\[\{\}\]	[[]{}[]]	[[][{][}][]]	[{}]	[{}]	[{}]	[{}]	[{}]
a\\b	a\\\\b	a\\\\b	a\\b	a\\b	a\b	a\b	a\\b	a\\b	a\\b
*?	\*\?	\*\?	[*][?]	[*][?]	*?	*?	*?	*?	*?
+(	+\(	+\(	+[(]	+[(]	+(	+(	+(	+(	+(
!(	!\(	!\(	![(]	![(]	!(	!(	!(	!(	!(
[[	\[\[	\[\[	[[][[]	[[][[]	[[	[[	[[	[[	[[
[[[	\[\[\[	\[\[\[	[[][[][[]	[[][[][[]	[[[	[[[	[[[	[[[	[[[
\\	\\\\	\\\\	\\	\\	\	\	\\	\\	\\
\\x	\\\\x	\\\\x	\\x	\\x	\x	\x	\\x	\\x	\\x
\\{	\\\\{	\\\\\{	\\{	\\[{]	\{	\{	\\{	\\{	\\{
\\}	\\\\}	\\\\\}	\\}	\\[}]	\}	\}	\\}	\\}	\\}
[\}]	\[\\}\]	\[\\\}\]	[[]\}[]]	[[]\[}][]]	[}]	[\}]	[\}]	[\}]	[\}]
a\\\\b	a\\\\\\\\b	a\\\\\\\\b	a\\\\b	a\\\\b	a\\b	a\\b	a\\\\b	a\\\\b	a\\\\b
\	\\	\\	\	\	\	\	\	\	\
[	\[	\[	[[]	[[]	[	[	[	[	[
]\	\]\\	\]\\	[]]\	[]]\	]\	]\	]\	]\	]\
[a	\[a	\[a	[[]a	[[]a	[a	[a	[a	[a	[a
[a]	\[a\]	\[a\]	[[]a[]]	[[]a[]]	a	a	a	a	a
a\\b/c	a\\\\b/c	a\\\\b/c	a\\b/c	a\\b/c	a\b/c	a\b/c	a\\b/c	a\\b/c	a\\b/c
[b\\/c]	\[b\\\\/c\]	\[b\\\\/c\]	[[]b\\/c[]]	[[]b\\/c[]]	[b\/c]	[b\/c]	[b\\/c]	[b\\/c]	[b\\/c]
[\[	\[\\\[	\[\\\[	[[]\[[]	[[]\[[]	[[	[[	[\[	[\[	[\[
[/x]	\[/x\]	\[/x\]	[[]/x[]]	[[]/x[]]	[/x]	[/x]	[/x]	[/x]	[/x]
[\\/y]	\[\\\\/y\]	\[\\\\/y\]	[[]\\/y[]]	[[]\\/y[]]	[\/y]	[\/y]	[\\/y]	[\\/y]	[\\/y]
a\[b	a\\\[b	a\\\[b	a\[[]b	a\[[]b	a[b	a[b	a\[b	a\[b	a\[b
[a#b	\[a#b	\[a#b	[[]a#b	[[]a#b	[a#b	[a#b	[a#b	[a#b	[a#b
[/]	\[/\]	\[/\]	[[]/[]]	[[]/[]]	[/]	[/]	[/]	[/]	[/]
[\\]	\[\\\\\]	\[\\\\\]	[[]\\[]]	[[]\\[]]	[\]	[\]	[\\]	[\\]	[\\]
[\}	\[\\}	\[\\\}	[[]\}	[[]\[}]	[}	[\}	[\}	[\}	[\}
\\[	\\\\\[	\\\\\[	\\[[]	\\[[]	\[	\[	\\[	\\[	\\[
[\[	\[\\\[	\[\\\[	[[]\[[]	[[]\[[]	[[	[[	[\[	[\[	[\[
\\\\	\\\\\\\\	\\\\\\\\	\\\\	\\\\	\\	\\	\\\\	\\\\	\\\\
a#b	a#b	a#b	a#b	a#b	a#b	a#b	a#b	a#b	a#b
.*	.\*	.\*	.[*]	.[*]	.*	.*	.*	.*	.*
a/**/b	a/\*\*/b	a/\*\*/b	a/[*][*]/b	a/[*][*]/b	a/**/b	a/**/b	a/**/b	a/**/b	a/**/b
a/*	a/\*	a/\*	a/[*]	a/[*]	a/*	a/*	a/*	a/*	a/*
*.*	\*.\*	\*.\*	[*].[*]	[*].[*]	*.*	*.*	*.*	*.*	*.*
[?]	\[\?\]	\[\?\]	[[][?][]]	[[][?][]]	?	?	?	?	?
x\\y	x\\\\y	x\\\\y	x\\y	x\\y	x\y	x\y	x\\y	x\\y	x\\y
\{	\\{	\\\{	\{	\[{]	{	\{	\{	\{	\{
\}	\\}	\\\}	\}	\[}]	}	\}	\}	\}	\}
a{,b}	a{,b}	a\{,b\}	a{,b}	a[{],b[}]	a{,b}	a{,b}	a{,b}	a{,b}	a{,b}
[a{b]	\[a{b\]	\[a\{b\]	[[]a{b[]]	[[]a[{]b[]]	[a{b]	[a{b]	[a{b]	[a{b]	[a{b]
[a}]	\[a}\]	\[a\}\]	[[]a}[]]	[[]a[}][]]	[a}]	[a}]	[a}]	[a}]	[a}]
[\{]	\[\\{\]	\[\\\{\]	[[]\{[]]	[[]\[{][]]	[{]	[\{]	[\{]	[\{]	[\{]
[\}]	\[\\}\]	\[\\\}\]	[[]\}[]]	[[]\[}][]]	[}]	[\}]	[\}]	[\}]	[\}]
[\{\}]	\[\\{\\}\]	\[\\\{\\\}\]	[[]\{\}[]]	[[]\[{]\[}][]]	[{}]	[\{\}]	[\{\}]	[\{\}]	[\{\}]
[a#b]	\[a#b\]	\[a#b\]	[[]a#b[]]	[[]a#b[]]	[a#b]	[a#b]	[a#b]	[a#b]	[a#b]
