	
plain	706c61696e
a,b	612c62
{a}b	7b617d62
{a,b}c	6163|6263
{a,b}c{,d}	6163|616364|6263|626364
{a{,b}d{,c}}	7b61647d|7b6164637d|7b6162647d|7b616264637d
{a{,b}c{,d}}	7b61637d|7b6163647d|7b6162637d|7b616263647d
{,}	
{,}{,}	
\{\,}	7b2c7d
\\{\\}	5c7b5c7d
{\{\},c}	7b7d|63
{a\,b,c}	612c62|63
\{a,b\}	7b612c627d
{a\{b,c,d\},e}	617b62|63|647d|65
{\$a,b\}	7b5c24612c627d
${FOO}	247b464f4f7d
$\{	247b
{,}a	61|61
{a,b},c	612c63|622c63
{a},b,c}	617d|62|63
{a},b,c,d}	617d|62|63|64
{a},b,c,d,e}	617d|62|63|64|65
{a,,b}	61|62
{a,,,}	61
{,a,b}	61|62
{a..c}	61|62|63
{a..e..2}	61|63|65
{a..b..-1}	61|62
{0..3}	30|31|32|33
{0..9..3}	30|33|36|39
{10..20}	3130|3131|3132|3133|3134|3135|3136|3137|3138|3139|3230
{010..15}	303130|303131|303132|303133|303134|303135
{-0..-2}	30|2d31|2d32
{a{,b}c}	7b61637d|7b6162637d
{a{,b}{,c}}	7b617d|7b61637d|7b61627d|7b6162637d
{a{,}b,}	6162|6162
{a,b,c}{d,e}	6164|6165|6264|6265|6364|6365
{a{b,c}d}{e{f,g}h}	7b6162647d7b6566687d|7b6162647d7b6567687d|7b6163647d7b6566687d|7b6163647d7b6567687d
x{y{,}z,w}u	78797a75|78797a75|787775
{0}{,}{1}	7b307d7b317d|7b307d7b317d
{0..0..1}	30
{0..1..-1}	30|31
{a..9..1}	7b612e2e392e2e317d
{2..9..-3}	32|35|38
{0a..9b}	7b30612e2e39627d
{0x1..0x5}	7b3078312e2e3078357d
{1.5..2.5}	7b312e352e2e322e357d
{1e2..e3}	7b3165322e2e65337d
{01..010}	303031|303032|303033|303034|303035|303036|303037|303038|303039|303130
{-01..-2}	2d3031|2d3032
{a,b,c}{1,,2}{x,}	613178|6131|6178|61|613278|6132|623178|6231|6278|62|623278|6232|633178|6331|6378|63|633278|6332
{a,b}${FOO},c}	61247b464f4f7d2c637d|62247b464f4f7d2c637d
{a,b},c${X},d}	612c63247b587d2c647d|622c63247b587d2c647d
{,},e}	2c657d|2c657d
{,}{,},f}	2c667d|2c667d|2c667d|2c667d
{a,b${X},c}	61|62247b587d|63
{a{,b,c}{,d,e}{,f}}	7b617d|7b61667d|7b61647d|7b6164667d|7b61657d|7b6165667d|7b61627d|7b6162667d|7b6162647d|7b616264667d|7b6162657d|7b616265667d|7b61637d|7b6163667d|7b6163647d|7b616364667d|7b6163657d|7b616365667d
{1..3}{4..5}{6..7}	313436|313437|313536|313537|323436|323437|323536|323537|333436|333437|333536|333537
{0x01..0x03}{a..e}{1..2}	7b307830312e2e307830337d7b612e2e657d7b312e2e327d
{a{b},c}	617b627d|63
{,a{b,c},e}	6162|6163|65
{a{{b,c}d{,}}e}	7b617b62647d657d|7b617b62647d657d|7b617b63647d657d|7b617b63647d657d
{,}{,}{,}z	7a|7a|7a|7a|7a|7a|7a|7a
{,}{a}{b}{,}	7b617d7b627d|7b617d7b627d|7b617d7b627d|7b617d7b627d
{a{e,}{f,}g}	7b616566677d|7b6165677d|7b6166677d|7b61677d
{1{,}2,3}	3132|3132|33
{,}{,}x	78|78|78|78
{a,b}{,}	61|61|62|62
{a}{b,c}{,}d	7b617d6264|7b617d6264|7b617d6364|7b617d6364
{a,b}{c}{d,e}	617b637d64|617b637d65|627b637d64|627b637d65
{a{x,y}z,w}	61787a|61797a|77
{a{x{,}},b}	617b787d|617b787d|62
{a{x{,}},,b}	617b787d|617b787d|62
{,a}{,b}{,}	62|62|61|61|6162|6162
{a,}{b,}{c}	61627b637d|617b637d|627b637d|7b637d
a{b,}{,}c{,}	616263|616263|616263|616263|6163|6163|6163|6163
{a{,,b}c}	7b61637d|7b61637d|7b6162637d
{a{,}b{,}c}	7b6162637d|7b6162637d|7b6162637d|7b6162637d
{a{,},b}	61|61|62
{a,,{,}b}	61|62|62
a{b,c,d,e,f}	6162|6163|6164|6165|6166
{,}{,}{,}{,}	
{0..4}{,}	30|30|31|31|32|32|33|33|34|34
{a,b,c,d,e,f,g,h,i,j}	61|62|63|64|65|66|67|68|69|6a
{0,1}{2,3}{4,5}{6,7}	30323436|30323437|30323536|30323537|30333436|30333437|30333536|30333537|31323436|31323437|31323536|31323537|31333436|31333437|31333536|31333537
{a,b,c,d}{e,f,g,h}{i,j,k,l}	616569|61656a|61656b|61656c|616669|61666a|61666b|61666c|616769|61676a|61676b|61676c|616869|61686a|61686b|61686c|626569|62656a|62656b|62656c|626669|62666a|62666b|62666c|626769|62676a|62676b|62676c|626869|62686a|62686b|62686c|636569|63656a|63656b|63656c|636669|63666a|63666b|63666c|636769|63676a|63676b|63676c|636869|63686a|63686b|63686c|646569|64656a|64656b|64656c|646669|64666a|64666b|64666c|646769|64676a|64676b|64676c|646869|64686a|64686b|64686c
{0..40..4}	30|34|38|3132|3136|3230|3234|3238|3332|3336|3430
{a..z..2}	61|63|65|67|69|6b|6d|6f|71|73|75|77|79
{A..C}	41|42|43
{a..A}	61|60|5f|5e|5d||5b|5a|59|58|57|56|55|54|53|52|51|50|4f|4e|4d|4c|4b|4a|49|48|47|46|45|44|43|42|41
{\1..\3}	7b5c312e2e5c337d
{a{,}b{,}c{,}d}	7b616263647d|7b616263647d|7b616263647d|7b616263647d|7b616263647d|7b616263647d|7b616263647d|7b616263647d
