method,path,router,feature,source
DELETE,/project/:project_id/contents/:path(.+),privateApiRouter,core,services/web/app/src/router.mjs:1067
DELETE,/project/:project_id/user/:user_id/update/:path(.+),privateApiRouter,core,services/web/app/src/router.mjs:1056
DELETE,/user/:user_id/update/:path(.+),privateApiRouter,core,services/web/app/src/router.mjs:1046
GET,/health_check,privateApiRouter,core,services/web/app/src/router.mjs:1243
GET,/health_check/api,privateApiRouter,core,services/web/app/src/router.mjs:1253
GET,/health_check/mongo,privateApiRouter,core,services/web/app/src/router.mjs:1263
GET,/health_check/redis,privateApiRouter,core,services/web/app/src/router.mjs:1260
GET,/internal/project/:Project_id/zip,privateApiRouter,core,services/web/app/src/router.mjs:988
GET,/internal/project/:project_id,privateApiRouter,core,services/web/app/src/router.mjs:983
GET,/internal/project/:project_id/compile/pdf,privateApiRouter,core,services/web/app/src/router.mjs:993
GET,/perfTest,privateApiRouter,core,services/web/app/src/router.mjs:1219
GET,/project/:Project_id/doc/:doc_id,privateApiRouter,core,services/web/app/src/router.mjs:1010
GET,/project/:project_id/details,privateApiRouter,core,services/web/app/src/router.mjs:976
GET,/status,privateApiRouter,core,services/web/app/src/router.mjs:1234
GET,/user/:userId/tag,privateApiRouter,core,services/web/app/src/router.mjs:899
GET,/user/:user_id/personal_info,privateApiRouter,core,services/web/app/src/router.mjs:505
POST,/internal/deactivateOldProjects,privateApiRouter,core,services/web/app/src/router.mjs:999
POST,/internal/expire-deleted-projects-after-duration,privateApiRouter,core,services/web/app/src/router.mjs:878
POST,/internal/expire-deleted-users-after-duration,privateApiRouter,core,services/web/app/src/router.mjs:883
POST,/internal/project/:projectId/expire-deleted-project,privateApiRouter,core,services/web/app/src/router.mjs:888
POST,/internal/project/:project_id/deactivate,privateApiRouter,core,services/web/app/src/router.mjs:1004
POST,/internal/users/:userId/expire,privateApiRouter,core,services/web/app/src/router.mjs:893
POST,/project/:Project_id/doc/:doc_id,privateApiRouter,core,services/web/app/src/router.mjs:1015
POST,/project/:Project_id/doc/:doc_id/changes/reject,privateApiRouter,core,services/web/app/src/router.mjs:1020
POST,/project/:project_id/contents/:path(.+),privateApiRouter,core,services/web/app/src/router.mjs:1062
POST,/project/:project_id/user/:user_id/update/:path(.+),privateApiRouter,core,services/web/app/src/router.mjs:1051
POST,/tpds/folder-update,privateApiRouter,core,services/web/app/src/router.mjs:1036
POST,/user/:user_id/project/new,privateApiRouter,core,services/web/app/src/router.mjs:1026
POST,/user/:user_id/project/resolve,privateApiRouter,core,services/web/app/src/router.mjs:1031
POST,/user/:user_id/update/:path(.+),privateApiRouter,core,services/web/app/src/router.mjs:1041
GET,/health_check/api,publicApiRouter,core,services/web/app/src/router.mjs:1248
GET,/health_check/mongo,publicApiRouter,core,services/web/app/src/router.mjs:1262
GET,/health_check/redis,publicApiRouter,core,services/web/app/src/router.mjs:1259
GET,/status,publicApiRouter,core,services/web/app/src/router.mjs:1223
ALL,*,webRouter,core,services/web/app/src/router.mjs:215
DELETE,/Project/:Project_id,webRouter,core,services/web/app/src/router.mjs:778
DELETE,/Project/:Project_id/archive,webRouter,core,services/web/app/src/router.mjs:759
DELETE,/admin/messages/:message_id,webRouter,core,services/web/app/src/router.mjs:1207
DELETE,/notifications/:notificationId,webRouter,core,services/web/app/src/router.mjs:963
DELETE,/project/:Project_id/output,webRouter,core,services/web/app/src/router.mjs:730
DELETE,/project/:project_id/messages/:message_id,webRouter,core,services/web/app/src/router.mjs:1101
DELETE,/project/:project_id/trash,webRouter,core,services/web/app/src/router.mjs:771
DELETE,/tag/:tagId,webRouter,core,services/web/app/src/router.mjs:927
DELETE,/tag/:tagId/project/:projectId,webRouter,core,services/web/app/src/router.mjs:945
DELETE,/user/newsletter/unsubscribe,webRouter,core,services/web/app/src/router.mjs:468
GET,*,webRouter,core,services/web/app/src/router.mjs:218
GET,*,webRouter,core,services/web/app/src/router.mjs:219
GET,*,webRouter,core,services/web/app/src/router.mjs:1376
GET,/Project/:Project_id/doc/:Doc_id/download,webRouter,core,services/web/app/src/router.mjs:641
GET,/Project/:Project_id/download/zip,webRouter,core,services/web/app/src/router.mjs:840
GET,/Project/:Project_id/file/:File_id,webRouter,core,services/web/app/src/router.mjs:635
GET,/account-suspended,webRouter,core,services/web/app/src/router.mjs:263
GET,/admin,webRouter,core,services/web/app/src/router.mjs:1152
GET,/admin/editor-state,webRouter,core,services/web/app/src/router.mjs:1162
GET,/beta/participate,webRouter,core,services/web/app/src/router.mjs:1127
